Posted Date,Reference Number,Payee,Address,Amount,Source_File
05/12/2025,13273500010847000227839,BA ELECTRONIC PAYMENT,,170.0,May2025_5383.csv
05/10/2025,24692165129106119757578,TST*BA BAR - SOUTH LAKE Seattle WA,Seattle       WA ,-23.78,May2025_5383.csv
05/09/2025,24011345129100013066972,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,May2025_5383.csv
05/06/2025,24943005126200891737854,POKE ALICE 2 SEATTLE WA,SEATTLE       WA ,-20.29,May2025_5383.csv
05/06/2025,24943005126200891737847,POKE ALICE 2 SEATTLE WA,SEATTLE       WA ,-20.29,May2025_5383.csv
05/02/2025,74350155122002668425921,LEV HAOLAM.COM SBUT RAHEL,,-99.0,May2025_5383.csv
05/02/2025,24011345122100021726499,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,May2025_5383.csv
05/01/2025,24492165121100009163773,SP FELLOW PRODUCTS FELLOWPRODUCTCA,FELLOWPRODUCT CA ,-128.81,May2025_5383.csv
04/28/2025,24000775116100028609259,"V. FREITAS LAW, PLLC v@vfreitaslawWA",v@vfreitaslaw WA ,-340.0,May2025_5383.csv
04/26/2025,74609055116100005710952,REMARKABLE OSLO,,-3.3,May2025_5383.csv
04/26/2025,24198805115516513594946,PAYPAL *ARSENIC ANY AR 4029357733 VT,4029357733    VT ,-153.0,May2025_5383.csv
04/26/2025,24198805115516513233461,PAYPAL *ARSENIC ANY AR 4029357733 VT,4029357733    VT ,-42.0,May2025_5383.csv
09/25/2025,                       ,INTEREST CHARGED ON PURCHASES,,-67.32,September2025_5383.csv
09/22/2025,26573500010847000188113,BA ELECTRONIC PAYMENT,,3585.15,September2025_5383.csv
09/19/2025,24011345262100069182597,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-131.45,September2025_5383.csv
09/17/2025,74980305259100081870469,UBER TRIP* TRIP UBER.COM,,-0.68,September2025_5383.csv
09/15/2025,74188895256000106809059,UBER *TRIP HELP.UBER.COM Tokyo,,-3.4,September2025_5383.csv
09/15/2025,74980305257100004980009,UBER TRIP* TRIP UBER.COM,,-9.05,September2025_5383.csv
09/15/2025,24765015256477718332350,GALBI BURGER BROADWAY SEATTLE WA,SEATTLE       WA ,-35.68,September2025_5383.csv
09/13/2025,74980305256100033240368,UBER TRIP* TRIP UBER.COM,,-27.87,September2025_5383.csv
09/13/2025,74980305256100018070004,UBER TRIP* TRIP UBER.COM,,-18.75,September2025_5383.csv
09/13/2025,74980305255100079550473,UBER TRIP* TRIP UBER.COM,,-23.58,September2025_5383.csv
09/13/2025,24717055255872554660441,HAWAIIAN AI 1734211890354SEATTLE WA,SEATTLE       WA ,-160.0,September2025_5383.csv
09/13/2025,24049555255900019280295,MUD BAY UNIVERSITY VILLAGSEATTLE WA,SEATTLE       WA ,-8.82,September2025_5383.csv
09/12/2025,24431065255285676248405,THE NEW STAND ST2889 SEATTLE WA,SEATTLE       WA ,-4.4,September2025_5383.csv
09/11/2025,74998865253536203313483,PAYPAL *MOUSPRODUCT 35314369001,,-109.23,September2025_5383.csv
09/11/2025,24027625253067052958119,PAYPAL *BAMBULABUSA 512-915-9986 TX,512-915-9986  TX ,-77.18,September2025_5383.csv
09/08/2025,24692165250101277339450,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,September2025_5383.csv
09/08/2025,24943005250282374020378,HYATT AT OLIVE 8 F&B SEATTLE WA,SEATTLE       WA ,-83.57,September2025_5383.csv
09/05/2025,24011345248100067870713,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-129.56,September2025_5383.csv
09/04/2025,74998865246535757359645,PAYPAL *TRYHACKME 35314369001,,-139.04,September2025_5383.csv
09/02/2025,24183105244900031994570,COURSEFORHIPAA.COM 407-9066254 FL,407-9066254   FL ,-15.0,September2025_5383.csv
09/01/2025,74350155244009343440319,LEV HAOLAM.COM SBUT RAHEL,,-99.0,September2025_5383.csv
09/01/2025,24251385243030121763689,SOLE FOOD SEATTLE WA,SEATTLE       WA ,-183.07,September2025_5383.csv
09/01/2025,24427335243710042927604,METROPOLITAN MKT 15 SEATTLE WA,SEATTLE       WA ,-33.33,September2025_5383.csv
09/01/2025,24445005242300433997396,QFC #5866 SEATTLE WA,SEATTLE       WA ,-15.82,September2025_5383.csv
08/29/2025,24011345241100083000623,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-129.56,September2025_5383.csv
08/27/2025,24055235239457627292296,KITCHEN & MARKET-MADISON SEATTLE WA,SEATTLE       WA ,-28.5,September2025_5383.csv
08/27/2025,74609055239100004378332,REMARKABLE OSLO,,-3.3,September2025_5383.csv
08/27/2025,24198805238533077105276,PAYPAL *EVO 2068199672 WA,2068199672    WA ,-124.12,September2025_5383.csv
08/27/2025,23973500010847000160487,BA ELECTRONIC PAYMENT,,5745.4,September2025_5383.csv
10/24/2025,24011345297100061661415,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-131.45,October2025_5383.csv
10/22/2025,24755425294292946882184,LAWRENCE ZANE HUPPIN DPM 206-3443808 WA,206-3443808   WA ,-11.4,October2025_5383.csv
10/22/2025,29573500010847000187788,BA ELECTRONIC PAYMENT,,1686.83,October2025_5383.csv
10/21/2025,24000775293100031757645,SMITHOPTICS.COM SMITHOPTICS.COR,SMITHOPTICS.C OR ,-263.76,October2025_5383.csv
10/21/2025,24011345293100111853594,SP PAMPER HAUS DESIGN STORE.PAMPERHCA,STORE.PAMPERH CA ,-5081.0,October2025_5383.csv
10/18/2025,24036295290718978748853,UBER *TRIP HELP.UBER.COMCA,HELP.UBER.COM CA ,-54.15,October2025_5383.csv
10/17/2025,24011345290100061675362,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-133.34,October2025_5383.csv
10/16/2025,24027625288067905957218,PAYPAL *ARSENIC ANY 518-727-8838 VT,518-727-8838  VT ,-62.0,October2025_5383.csv
10/10/2025,24055235283509482465311,KITCHEN & MARKET-MADISON SEATTLE WA,SEATTLE       WA ,-7.5,October2025_5383.csv
10/10/2025,24011345283100064233531,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,October2025_5383.csv
10/10/2025,24801975282508905800160,FURY CONSIGNMENT SEATTLE WA,SEATTLE       WA ,-533.24,October2025_5383.csv
10/09/2025,24692165281106643765844,SQ *MAINSTAY PROVISIONS DSeattle WA,Seattle       WA ,-19.86,October2025_5383.csv
10/09/2025,24692165281106635965428,SQ *MAINSTAY PROVISIONS DSeattle WA,Seattle       WA ,-39.34,October2025_5383.csv
10/08/2025,24027625280067498164600,PAYPAL *DR BRONNERS DR BR402-935-7733 CA,402-935-7733  CA ,-61.88,October2025_5383.csv
10/08/2025,24027625280067483118454,PAYPAL *STANCE 949-391-9030 CA,949-391-9030  CA ,-92.66,October2025_5383.csv
10/06/2025,24692165278104027485571,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,October2025_5383.csv
10/06/2025,24692165278103887641612,SQ *LUNA BELLA'S CONSIGNMVashon WA,Vashon        WA ,-41.31,October2025_5383.csv
10/03/2025,74350155276001116761642,LEV HAOLAM.COM SBUT RAHEL,,-99.0,October2025_5383.csv
10/03/2025,24011345276100064440812,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-131.45,October2025_5383.csv
10/03/2025,24692165275100405532854,TST*RUBINSTEIN BAGELS - Seattle WA,Seattle       WA ,-39.41,October2025_5383.csv
10/02/2025,24692165275100236235230,SQ *LULA SEATTLE WA,SEATTLE       WA ,-19.46,October2025_5383.csv
09/29/2025,24427335270710049554076,PCC - VIEW RIDGE SEATTLE WA,SEATTLE       WA ,-54.92,October2025_5383.csv
09/27/2025,24240525270493943014072,THE GRATEFUL BREAD SEATTLE WA,SEATTLE       WA ,-18.75,October2025_5383.csv
09/27/2025,24011345270100022149840,SP HONEY STINGER HONEYSTINGER.CO,HONEYSTINGER. CO ,-54.38,October2025_5383.csv
09/27/2025,24692165269104914973045,TST*CARMELOS TACOS - SE Seattle WA,Seattle       WA ,-37.2,October2025_5383.csv
09/26/2025,74609055269100048103244,REMARKABLE OSLO,,-3.3,October2025_5383.csv
09/26/2025,24801975269492754375979,DUNN LAKE UNION SEATTLE WA,SEATTLE       WA ,-40.98,October2025_5383.csv
09/26/2025,24011345269100064214661,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-131.45,October2025_5383.csv
09/26/2025,24027625268067860392355,PAYPAL *ARSENIC ANY ARSEN402-935-7733 VT,402-935-7733  VT ,-86.0,October2025_5383.csv
02/24/2025,24692165054105232488532,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,February2025_5383.csv
02/24/2025,24427335054710043689201,METROPOLITAN MKT 15 SEATTLE WA,SEATTLE       WA ,-74.9,February2025_5383.csv
02/22/2025,24198805052507609777839,PAYPAL *ARSENIC ANY AR 4029357733 CA,4029357733    CA ,-181.0,February2025_5383.csv
02/21/2025,24011345052500018189367,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,February2025_5383.csv
02/21/2025,24793385051002088341045,Vagaro_*Refine Nails a SEATTLE WA,SEATTLE       WA ,-102.5,February2025_5383.csv
02/21/2025,05273500010847000310870,BA ELECTRONIC PAYMENT,,2648.84,February2025_5383.csv
02/19/2025,24692165049100905255589,SQ *MAINSTAY PROVISIONS DSeattle WA,Seattle       WA ,-42.48,February2025_5383.csv
02/19/2025,24692165049100464320113,GOOGLE *Disney Mobile 855-836-3987 CA,855-836-3987  CA ,-17.65,February2025_5383.csv
02/18/2025,24011345048500073690975,SP VLOUSNOW.COM VLOUSNOW.COM MD,VLOUSNOW.COM  MD ,-165.75,February2025_5383.csv
02/18/2025,24198805048506500616218,PAYPAL *ETSY INC SAN JOSE NY,SAN JOSE      NY ,-1167.22,February2025_5383.csv
02/17/2025,24692165047109416917464,SQ *RAVENNA BREWING CO Seattle WA,Seattle       WA ,-30.32,February2025_5383.csv
02/17/2025,24692165046108526764098,IN *SHADES BY MARKHAM LLC425-4430156 WA,425-4430156   WA ,-2151.83,February2025_5383.csv
02/17/2025,24013395046003054116917,SUMMIT AT SNOQUALMIE ECOM425-4347669 WA,425-4347669   WA ,-72.57,February2025_5383.csv
02/14/2025,24055235045243153324750,BROWN BEAR LAKE CITY SEATTLE WA,SEATTLE       WA ,-25.85,February2025_5383.csv
02/14/2025,24011345045500022684288,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,February2025_5383.csv
02/08/2025,24240525038236512706252,UW PAY BY PHONE 206-685-1553 WA,206-685-1553  WA ,-0.25,February2025_5383.csv
02/08/2025,24240525038236512702434,UW PAY BY PHONE 206-685-1553 WA,206-685-1553  WA ,-10.0,February2025_5383.csv
02/08/2025,24240525038236512699994,UW PAY BY PHONE 206-685-1553 WA,206-685-1553  WA ,-10.0,February2025_5383.csv
02/08/2025,24692165038101720642889,STARBUCKS STORE 02810 SEATTLE WA,SEATTLE       WA ,-12.26,February2025_5383.csv
02/08/2025,24198805038505225436615,PAYPAL *VISHNUFREES 4029357733 CA,4029357733    CA ,-14.0,February2025_5383.csv
02/07/2025,24011345038500022993639,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,February2025_5383.csv
02/07/2025,24240525037235485662782,UW PAY BY PHONE 206-685-1553 WA,206-685-1553  WA ,-10.0,February2025_5383.csv
02/01/2025,24011345032500031622779,SP HONEY STINGER HONEYSTINGER.CO,HONEYSTINGER. CO ,-54.38,February2025_5383.csv
02/01/2025,24692165031105529091047,TST*BLAZING BAGELS - BLA Seattle WA,Seattle       WA ,-31.25,February2025_5383.csv
01/31/2025,24011345031500016666958,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,February2025_5383.csv
01/31/2025,24116415030716671670616,XERO SHOES 720-259-0374 CO,720-259-0374  CO ,-63.62,February2025_5383.csv
01/30/2025,74350155030007719924047,LEV HAOLAM.COM SBUT RAHEL,,-99.0,February2025_5383.csv
01/28/2025,24036295028742337302334,EB *OCTOBER H8TE 801-413-7200 CA,801-413-7200  CA ,-200.0,February2025_5383.csv
01/27/2025,24692165026101863746152,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,February2025_5383.csv
01/27/2025,24632695026500812888677,ACT THEATRE WEB 206-292-7660 WA,206-292-7660  WA ,-130.0,February2025_5383.csv
01/27/2025,74609055026500004182088,REMARKABLE OSLO,,-3.3,February2025_5383.csv
04/25/2025,                       ,INTEREST CHARGED ON PURCHASES,,-63.88,April2025_5383.csv
04/25/2025,74137465114001525078934,NORDSTROM#1 SEATTLE WA,SEATTLE       WA ,165.51,April2025_5383.csv
04/25/2025,24011345115100018308607,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,April2025_5383.csv
04/23/2025,                       ,LATE FEE FOR PAYMENT DUE,,-27.0,April2025_5383.csv
04/23/2025,24692165112103714957975,SQ *DRIFTWOOD NATURAL SKIgosq.com WA,gosq.com      WA ,-346.01,April2025_5383.csv
04/22/2025,24039825111900015900584,COYOTE CAFE SANTA FE NM,SANTA FE      NM ,-218.51,April2025_5383.csv
04/21/2025,24692165111102251353987,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,April2025_5383.csv
04/21/2025,24692165109100587565989,SQ *PICNIC POP-UP CHEESE Cerrillos NM,Cerrillos     NM ,-6.63,April2025_5383.csv
04/19/2025,24493985109096800015780,HIST MUSEUM/PALACE OF GO 5054765101 NM,5054765101    NM ,-24.0,April2025_5383.csv
04/19/2025,24453885109000013501560,OHORI'S COFFEE SANTA FE NM,SANTA FE      NM ,-70.47,April2025_5383.csv
04/19/2025,24453885109000013500620,OHORI'S COFFEE SANTA FE NM,SANTA FE      NM ,-16.3,April2025_5383.csv
04/19/2025,24692165108109980344547,GOOGLE *Disney Mobile 855-836-3987 CA,855-836-3987  CA ,-17.65,April2025_5383.csv
04/19/2025,24692165108109814040063,SQ *MEOW WOLF SANTA FE LLSanta Fe NM,Santa Fe      NM ,-7.48,April2025_5383.csv
04/19/2025,24011345108100080510758,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,April2025_5383.csv
04/18/2025,24493985108096490064404,GEORGIA O'KEEFFE MUSEUM SANTA FE NM,SANTA FE      NM ,-75.07,April2025_5383.csv
04/18/2025,24055225107309446175303,CAFE PASQUAL'S SANTA FE NM,SANTA FE      NM ,-130.91,April2025_5383.csv
04/17/2025,24011345106100118197752,TEN THOUSAND WAVES 150-59829304 NM,150-59829304  NM ,-150.59,April2025_5383.csv
04/16/2025,24493985106095791097255,TIA SOPHIA'S RESTAURANT SANTA FE NM,SANTA FE      NM ,-50.28,April2025_5383.csv
04/16/2025,24137465106001768677520,WHOLEFDS CER 10104 SANTA FE NM,SANTA FE      NM ,-61.02,April2025_5383.csv
04/14/2025,24692165102104723339892,TST*MAGNUSON CAFE & BREW Seattle WA,Seattle       WA ,-88.51,April2025_5383.csv
04/11/2025,24011345101100018977555,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,April2025_5383.csv
04/10/2025,24692165099101942196314,TST*SKILLET REGRADE Seattle WA,Seattle       WA ,-42.4,April2025_5383.csv
04/08/2025,24692165097100414325619,SQ *FULCRUM MOUNTAINTOPS Seattle WA,Seattle       WA ,-23.62,April2025_5383.csv
04/07/2025,24011345095100064266968,JUDAICAWEBSTORE.COM WWW.JUDAICAWENY,WWW.JUDAICAWE NY ,-121.95,April2025_5383.csv
04/04/2025,24011345094100027563304,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,April2025_5383.csv
04/03/2025,24137465093001266060299,NORDSTROM DIRECT #0808 800-285-5800 IA,800-285-5800  IA ,-165.51,April2025_5383.csv
04/02/2025,24011345092100003733014,SP HONEY STINGER HONEYSTINGER.CO,HONEYSTINGER. CO ,-54.38,April2025_5383.csv
04/01/2025,74350155091000967209399,LEV HAOLAM.COM SBUT RAHEL,,-99.0,April2025_5383.csv
03/31/2025,74541835088288075262556,DAISO JAPAN - ION SINGAPORE,,-4.72,April2025_5383.csv
03/29/2025,74143255088100000935375,MASHSG SINGAPORE,,-138.41,April2025_5383.csv
03/28/2025,24011345087100015476575,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,April2025_5383.csv
03/27/2025,24198805085512612172128,PAYPAL *ARSENIC ANY AR 4029357733 VT,4029357733    VT ,-115.0,April2025_5383.csv
03/26/2025,74609055085100005886148,REMARKABLE OSLO,,-3.3,April2025_5383.csv
07/25/2025,                       ,INTEREST CHARGED ON PURCHASES,,-98.21,July2025_5383.csv
07/25/2025,24011345206100055943936,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,July2025_5383.csv
07/24/2025,24692165204101368218529,TST*RUBINSTEIN BAGELS - Seattle WA,Seattle       WA ,-33.24,July2025_5383.csv
07/23/2025,                       ,LATE FEE FOR PAYMENT DUE,,-39.0,July2025_5383.csv
07/23/2025,24430995204416620092257,SEATTLEACADEMY 206-676-6894 WA,206-676-6894  WA ,-2763.0,July2025_5383.csv
07/23/2025,24733095204071348000893,CONVENFEE 866-492-3463 MA,866-492-3463  MA ,-79.05,July2025_5383.csv
07/23/2025,24692165203100745123288,TST*MONSOON - BELLEVUE Bellevue WA,Bellevue      WA ,-68.88,July2025_5383.csv
07/23/2025,20473500010847000181039,BA ELECTRONIC PAYMENT,,4937.8,July2025_5383.csv
07/21/2025,24027625201067645862821,PAYPAL *WORLDPACKER 786-897-1926 FL,786-897-1926  FL ,-49.0,July2025_5383.csv
07/19/2025,24692165199107124460336,TST*THE BRYANT CORNER CA Seattle WA,Seattle       WA ,-48.3,July2025_5383.csv
07/19/2025,24692165199107034554798,GOOGLE *Disney Mobile 855-836-3987 CA,855-836-3987  CA ,-17.65,July2025_5383.csv
07/18/2025,24036295199712507706898,AIRBNB * HMKNBQB23F AIRBNB.COM CA,AIRBNB.COM    CA ,-76.59,July2025_5383.csv
07/18/2025,24011345199100018462502,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-121.56,July2025_5383.csv
07/17/2025,24011345198100012937088,SP SPIRITUAL GANGSTE SPIRITUALGANGCA,SPIRITUALGANG CA ,-186.49,July2025_5383.csv
07/15/2025,24692165195102905344134,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,July2025_5383.csv
07/12/2025,24692165192100482438470,TST*BELLE EPICUREAN - EA Seattle WA,Seattle       WA ,-27.67,July2025_5383.csv
07/11/2025,24011345192100016505994,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,July2025_5383.csv
07/09/2025,24692165189107502658529,TST*AGUA VERDE CAFE Seattle WA,Seattle       WA ,-11.73,July2025_5383.csv
07/08/2025,24198805188526431152885,PAYPAL *VISHNUFREES 4029357733 CA,4029357733    CA ,-66.0,July2025_5383.csv
07/04/2025,24692165184102668409879,SQ *MAINSTAY PROVISIONS DSeattle WA,Seattle       WA ,-34.21,July2025_5383.csv
07/03/2025,24055235184394193906436,KITCHEN & MARKET-MADISON SEATTLE WA,SEATTLE       WA ,-7.0,July2025_5383.csv
07/03/2025,24692165184102487628212,SQ *FULCRUM MOUNTAINTOPS Seattle WA,Seattle       WA ,-9.28,July2025_5383.csv
07/02/2025,74350155183005854468270,LEV HAOLAM.COM SBUT RAHEL,,-99.0,July2025_5383.csv
07/01/2025,24943005182237163945071,POKE ALICE 2 SEATTLE WA,SEATTLE       WA ,-42.35,July2025_5383.csv
06/30/2025,24036385180071713046031,PAYPAL *FANDANGO 866-857-5191 CA,866-857-5191  CA ,-45.3,July2025_5383.csv
06/27/2025,24240525178387306613145,WA DEPT OF HEALTH HSQA 360-236-4508 WA,360-236-4508  WA ,-1328.4,July2025_5383.csv
06/27/2025,74940005177018280293420,DECATHLON LOGRONO LOGRONO,,-64.13,July2025_5383.csv
06/27/2025,74040945177008129371533,LAVANDERIA OPEN BLUE LOGRONO,,-9.33,July2025_5383.csv
06/27/2025,74040945177008105162070,LAVANDERIA OPEN BLUE LOGRONO,,-8.17,July2025_5383.csv
06/27/2025,24011345178100012206595,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,July2025_5383.csv
06/26/2025,74609055177100006008543,REMARKABLE OSLO,,-3.3,July2025_5383.csv
06/24/2025,74509465174210082656696,SIMPLY CHILE LOGRONO,,-18.93,June2025_5383.csv
06/24/2025,24036295174718177292910,AIRBNB * HMSBE25BKD AIRBNB.COM CA,AIRBNB.COM    CA ,-704.37,June2025_5383.csv
06/23/2025,24036295173716056934967,AIRBNB * HMKNBQB23F AIRBNB.COM CA,AIRBNB.COM    CA ,-284.99,June2025_5383.csv
06/23/2025,17473500010847000286032,BA ELECTRONIC PAYMENT,,2921.24,June2025_5383.csv
06/23/2025,74509465172210080925749,CACHITO MIO LARDERO,,-10.22,June2025_5383.csv
06/23/2025,74509465172210080490413,MIKONOS GRAN VIA LOGRONO,,-40.41,June2025_5383.csv
06/23/2025,74509465172210080869046,MIKONOS GRAN VIA LOGRONO,,-84.04,June2025_5383.csv
06/21/2025,24431065171230334571237,ALASKA AIR 0272109051092SEATTLE WA,SEATTLE       WA ,-133.3,June2025_5383.csv
06/20/2025,24036295170744597721159,ALLIANZ TRAVEL INS ALLIANZINS.USVA,ALLIANZINS.US VA ,-23.98,June2025_5383.csv
06/20/2025,24793385170000912433075,as.Saily*saily Lewes DE,Lewes         DE ,-14.99,June2025_5383.csv
06/19/2025,24692165169102170102961,GOOGLE *Disney Mobile 855-836-3987 CA,855-836-3987  CA ,-17.65,June2025_5383.csv
06/18/2025,24493985169116697034210,SEA AIRPORT PARKING 2067874069 WA,2067874069    WA ,-8.0,June2025_5383.csv
06/18/2025,24692165168101229251077,SQ *JOEY UNIVERSITY VILLASeattle WA,Seattle       WA ,-141.23,June2025_5383.csv
06/17/2025,24692165167100586090780,TST*EL CAMION - SAND POI Seattle WA,Seattle       WA ,-31.09,June2025_5383.csv
06/16/2025,24692165167100163654396,NYTIMES* 800-698-4637 NY,800-698-4637  NY ,-25.55,June2025_5383.csv
06/14/2025,74284485164523963939499,PAYPAL *IEFSPACESPT 91051816,,-89.0,June2025_5383.csv
06/13/2025,24055235164371409485185,KITCHEN & MARKET-MADISON SEATTLE WA,SEATTLE       WA ,-41.5,June2025_5383.csv
06/13/2025,24011345164100031138932,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-127.67,June2025_5383.csv
06/13/2025,24801975163370853461519,FURY CONSIGNMENT SEATTLE WA,SEATTLE       WA ,-458.61,June2025_5383.csv
06/12/2025,24692165162106260663615,SQ *FULCRUM MOUNTAINTOPS Seattle WA,Seattle       WA ,-24.15,June2025_5383.csv
06/12/2025,24692165162105893472642,TST*RUBINSTEIN BAGELS - Seattle WA,Seattle       WA ,-32.49,June2025_5383.csv
06/11/2025,24036295161714328017921,RUELALA*MMSMOORSLQ RUELALA.COM MA,RUELALA.COM   MA ,-156.67,June2025_5383.csv
06/10/2025,24036295160718176129911,RUELALA*MMSQOQQPNT RUELALA.COM MA,RUELALA.COM   MA ,-369.62,June2025_5383.csv
06/09/2025,24692165158102530633344,SWEETGREEN SOUTH LAKE SEATTLE WA,SEATTLE       WA ,-31.86,June2025_5383.csv
06/06/2025,24801975156362998034235,FURY CONSIGNMENT SEATTLE WA,SEATTLE       WA ,-165.11,June2025_5383.csv
06/06/2025,24011345157100013154955,HUNGRYROOT.COM HUNGRYROOT.CONY,HUNGRYROOT.CO NY ,-119.67,June2025_5383.csv
