Posted Date,Payee, Amount ,ABS Amount,Source,Bas-Lux,Category
11/12/25,Mdseelig,18.00,18.00,usaa-jcc,Basic,Health & Medical
11/12/25,Anchorhead Coffee,16.31,16.31,usaa-jcc,Luxury,Dining
11/11/25,El Camion Sand Poi,22.81,22.81,usaa-jcc,Luxury,Dining
11/11/25,FLEURISH 65000000762SEATTLE             WA,125.00,125.00,amex-cc,Luxury,Gifts
11/11/25,Smith Brothers Farms,38.42,38.42,usaa-jcc,Basic,Groceries
11/10/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/10/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/10/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/10/25,Apple,9.99,9.99,usaa-jcc,Basic,hardware technology
11/10/25,PAYPAL *STEAM GAMES 4259522985          WA,11.23,11.23,amex-cc,Luxury,Subscriptions / Digital
11/10/25,USAA Overdraft,100.00,100.00,usaa-jcc,Basic,Enrichment
11/10/25,Anchorhead Coffee,9.12,9.12,usaa-jcc,Luxury,Dining
11/9/25,QFC                 SEATTLE             WA,26.14,26.14,amex-cc,Basic,Groceries
11/9/25,SEATTLE MAKERS      SEATTLE             WA,125.00,125.00,amex-cc,Luxury,Membership
11/9/25,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,220.70,220.70,amex-cc,Luxury,Professional
11/9/25,TST* HEY BAGEL 00206SEATTLE             WA,64.16,64.16,amex-cc,Luxury,Dining
11/8/25,Chipotle,27.09,27.09,usaa-jcc,Luxury,Dining
11/8/25,Metropolitan Market,5.34,5.34,usaa-jcc,Basic,Groceries
11/8/25,Metropolitan Market,216.78,216.78,usaa-jcc,Basic,Groceries
11/8/25,Kattermans Sand Point,16.54,16.54,usaa-jcc,Basic,Pharmacy
11/8/25,GILL'S FOOD & GAS 18ENUMCLAW            WA,6.53,6.53,amex-cc,Luxury,Dining
11/8/25,SAFEWAY #0494 0494  ENUMCLAW            WA,7.61,7.61,amex-cc,Basic,Groceries
11/8/25,Chevron,44.72,44.72,usaa-jcc,Basic,Auto
11/8/25,View Ridge,52.00,52.00,usaa-jcc,Luxury,Dining
11/8/25,Ridge,94.38,94.38,usaa-jcc,Dining,0
11/8/25,Whey Pat St Andrews,5.26,5.26,usaa-jcc,Luxury,Dining
11/8/25,Swing Sandwiches and Seattle,30.31,30.31,usaa-jcc,Luxury,Dining
11/8/25,Dick's Drive-In,4.46,4.46,usaa-jcc,Luxury,Dining
11/8/25,Dairy Queen,15.20,15.20,usaa-jcc,Luxury,Dining
11/7/25,Interest On Cash Advances,46.34,46.34,usaa-jcc,Luxury,Bank Fees
11/7/25,Peony,180.00,180.00,usaa-jcc,Basic,Health & Medical
11/7/25,Overdraft Credit Card Advance,100.00,100.00,usaa-cc,Luxury,Bank Fees
11/7/25,Monica's Grooming,155.00,155.00,usaa-jcc,Luxury,Pets
11/6/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/6/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/6/25,Peony,180.00,180.00,usaa-jcc,Basic,Health & Medical
11/6/25,AMAZON PRIME*7R96V3LAMZN.CO.UK/PM       GB,5.86,5.86,amex-cc,Basic,Home & Garden
11/6/25,Overdraft Credit Card Advance,2800.00,"2,800.00",usaa-cc,Luxury,Bank Fees
11/6/25,USAA Overdraft,100.00,100.00,usaa-jcc,Basic,Enrichment
11/5/25,76 Fuel,95.75,95.75,usaa-jcc,Basic,Auto
11/5/25,Ubs Bank Loan Payment,-5069.03,"5,069.03",usaa-cc,Basic,Mortgage
11/5/25,LINKEDINPREC *552653MOUNTAIN VIEW,66.20,66.20,amex-cc,Luxury,Professional
11/5/25,Check #996328,-655.00,655.00,usaa-cc,0,0
11/5/25,Veraci Pizza Ballard Seattle,19.03,19.03,usaa-jcc,Luxury,Dining
11/5/25,USAA Overdraft,2800.00,"2,800.00",usaa-jcc,Basic,Enrichment
11/4/25,Tesla,11.02,11.02,usaa-jcc,Basic,Auto
11/4/25,El Camion Sand Poi,49.22,49.22,usaa-jcc,Luxury,Dining
11/4/25,Smith Brothers Farms,34.02,34.02,usaa-jcc,Basic,Groceries
11/4/25,Transamerica Premium,-60.34,60.34,usaa-cc,Basic,Insurance
11/4/25,COGNITION LABS (DEVISAN FRANCISCO       CA,12.41,12.41,amex-cc,0,0
11/4/25,COGNITION LABS (DEVISAN FRANCISCO       CA,22.07,22.07,amex-cc,0,0
11/4/25,Lucillia,-350.00,350.00,usaa-cc,Luxury,Professional
11/4/25,CVS,16.31,16.31,usaa-jcc,Basic,Health & Medical
11/4/25,Menchie's Frozen Yogurt,10.06,10.06,usaa-jcc,Luxury,Dining
11/4/25,Dsquared Hospitality Seattle,101.52,101.52,usaa-jcc,0,0
11/4/25,Seattle Municipal Court,78.60,78.60,usaa-jcc,Luxury,Auto
11/4/25,Uw Trans Pay Station,8.15,8.15,usaa-jcc,basic,Travel
11/3/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
11/3/25,Costco,99.30,99.30,usaa-jcc,Basic,Groceries
11/3/25,North Lake Marina,70.00,70.00,usaa-jcc,Luxury,SYC
11/3/25,Science Olympiad Inc,24.00,24.00,usaa-jcc,Basic,Enrichment
11/3/25,Anchorhead Coffee,25.06,25.06,usaa-jcc,Luxury,Dining
11/2/25,Metropolitan Market,44.95,44.95,usaa-jcc,Basic,Groceries
11/2/25,REMARKABLE          OSLO                OS,3.30,3.30,amex-cc,Basic,Subscriptions / Digital
11/2/25,Hulu,25.36,25.36,usaa-jcc,Luxury,Subscriptions / Digital
11/2/25,USAA Credit Card,-15691.03,"15,691.03",usaa-jcc,Basic,Transfer
11/2/25,TESLA INC SUPERCHARGPALO ALTO,7.35,7.35,amex-cc,basic,Auto
11/2/25,Chevron,76.63,76.63,usaa-jcc,Basic,Auto
11/2/25,Best Buy,308.97,308.97,usaa-jcc,0,0
11/1/25,DoorDash,111.99,111.99,usaa-jcc,Luxury,Dining
11/1/25,Instacart via Instacart,374.47,374.47,usaa-jcc,Basic,Groceries
11/1/25,Google Cloud,0.01,0.01,usaa-jcc,Luxury,Professional
11/1/25,CLAUDE.AI SUBSCRIPTISAN FRANCISCO       CA,110.35,110.35,amex-cc,Luxury,Professional
11/1/25,TESLA INC SUPERCHARGPALO ALTO,14.41,14.41,amex-cc,basic,Auto
11/1/25,TESLA INC SUPERCHARGPALO ALTO,17.25,17.25,amex-cc,basic,Auto
11/1/25,Portland Ultimate Flyportland,15.00,15.00,usaa-jcc,Basic,Enrichment
11/1/25,Friction Gloves,25.00,25.00,usaa-jcc,Luxury,clothing
11/1/25,Pro Ski,143.44,143.44,usaa-jcc,Luxury,Enrichment
10/31/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/31/25,Chipotle,25.02,25.02,usaa-jcc,Luxury,Dining
10/31/25,Check #996322,-235.00,235.00,usaa-cc,0,0
10/31/25,Pilot Flying J,13.67,13.67,usaa-jcc,Luxury,Dining
10/30/25,Dick's Sporting Goods,156.68,156.68,usaa-jcc,Luxury,Clothing
10/30/25,Dick's Sporting Goods,33.11,33.11,usaa-jcc,Luxury,Clothing
10/30/25,El Camion Sand Poi,22.81,22.81,usaa-jcc,Luxury,Dining
10/30/25,Einstein Bros. Bagels,7.73,7.73,usaa-jcc,Luxury,Dining
10/30/25,Quality Food Centers,44.02,44.02,usaa-jcc,Basic,Groceries
10/30/25,Peony,180.00,180.00,usaa-jcc,Basic,Health & Medical
10/29/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/29/25,HP Instant Ink,8.82,8.82,usaa-jcc,Basic,Professional
10/29/25,TST* BBS TERIYAKI GRSEATTLE             WA,16.95,16.95,amex-cc,Luxury,Dining
10/29/25,Topscore Ulti Usetopscore Cpa,40.00,40.00,usaa-jcc,0,0
10/29/25,Anchorhead Coffee,17.54,17.54,usaa-jcc,Luxury,Dining
10/29/25,Quantum Fiber,85.89,85.89,usaa-jcc,Basic,Utilities
10/28/25,PayByPhone Parking,2.33,2.33,usaa-jcc,Basic,Auto
10/28/25,Smith Brothers Farms,37.92,37.92,usaa-jcc,Basic,Groceries
10/28/25,Kattermans Sand Point,2.00,2.00,usaa-jcc,Basic,Pharmacy
10/28/25,Kattermans Sand Point,6.10,6.10,usaa-jcc,Basic,Pharmacy
10/28/25,Spotify,22.06,22.06,usaa-jcc,Luxury,Subscriptions / Digital
10/28/25,Anchorhead Coffee,25.06,25.06,usaa-jcc,Luxury,Dining
10/27/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/27/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/27/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/27/25,Costco,345.44,345.44,usaa-jcc,Basic,Groceries
10/27/25,Costco,157.99,157.99,usaa-jcc,Basic,Groceries
10/27/25,Costco,1.66,1.66,usaa-jcc,Basic,Groceries
10/27/25,Etsy,72.27,72.27,usaa-jcc,Basic,Home & Garden
10/27/25,Anchorhead Coffee,24.08,24.08,usaa-jcc,Luxury,Dining
10/26/25,TRINITY NIGHTCLUB SESeattle             WA,24.00,24.00,amex-cc,Luxury,Dining
10/26/25,Cafe Javasti,5.01,5.01,usaa-jcc,Luxury,Dining
10/25/25,Starbucks,5.00,5.00,usaa-jcc,Luxury,Dining
10/25/25,QFC                 SEATTLE             WA,13.99,13.99,amex-cc,Basic,Groceries
10/25/25,CORE DEVICES        SAN FRANCISCO       CA,8.42,8.42,amex-cc,0,0
10/25/25,TST* BA BAR - CAPITOSEATTLE             WA,49.17,49.17,amex-cc,Luxury,Dining
10/25/25,TST* HEY BAGEL 00206SEATTLE             WA,33.74,33.74,amex-cc,Luxury,Dining
10/25/25,Kate Grossman Md Pllc,680.00,680.00,usaa-jcc,Basic,Health & Medical
10/24/25,Metropolitan Market,140.33,140.33,usaa-jcc,Basic,Groceries
10/24/25,Metropolitan Market,186.46,186.46,usaa-jcc,Basic,Groceries
10/24/25,Pure Insurance,-394.50,394.50,usaa-cc,Luxury,Insurance
10/24/25,CLINE BOT INC       WILMINGTON          DE,21.35,21.35,amex-cc,Luxury,Professional
10/24/25,PRO SKI SEATTLE     SEATTLE             WA,10.00,10.00,amex-cc,Luxury,Enrichment
10/24/25,Anchorhead Coffee,24.08,24.08,usaa-jcc,Luxury,Dining
10/24/25,Seattle University,10.00,10.00,usaa-jcc,0,0
10/24/25,Wild Salmon Seafood,216.57,216.57,usaa-jcc,Basic,Groceries
10/24/25,Swing Sandwiches and Seattle,30.63,30.63,usaa-jcc,Luxury,Dining
10/24/25,Max,11.01,11.01,usaa-jcc,0,0
10/24/25,Fishermens Green Market,11.98,11.98,usaa-jcc,Luxury,Dining
10/23/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/23/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/23/25,FLEURISH 65000000762SEATTLE             WA,125.00,125.00,amex-cc,Luxury,Gifts
10/23/25,Apple,29.99,29.99,usaa-jcc,Basic,hardware technology
10/23/25,Peony,180.00,180.00,usaa-jcc,Basic,Health & Medical
10/23/25,Who Gives A Crap,54.08,54.08,usaa-jcc,Basic,Home & Garden
10/23/25,"CURSOR, AI POWERED INEW YORK            NY",22.07,22.07,amex-cc,Luxury,Professional
10/23/25,American Express Credit Card,-5822.76,"5,822.76",usaa-cc,Basic,Transfer
10/23/25,USAA Transfer,7000.00,"7,000.00",usaa-cc,Basic,Transfer
10/23/25,UW FOOD SERVICES    SEATTLE             WA,6.37,6.37,amex-cc,Basic,Enrichment
10/23/25,Chevron,69.62,69.62,usaa-jcc,Basic,Auto
10/23/25,Chevron,4.38,4.38,usaa-jcc,Basic,Auto
10/23/25,Washington Vehicle Licensing,658.43,658.43,usaa-jcc,Luxury,Travel
10/22/25,Tonal.com,66.15,66.15,usaa-jcc,Luxury,Subscriptions / Digital
10/22/25,ONLINE PAYMENT - THANK YOU,-5822.76,"5,822.76",amex-cc,Basic,Transfer
10/22/25,PHO SHIZZLE LLC 00-0SEATTLE             WA,16.50,16.50,amex-cc,Luxury,Dining
10/22/25,Anchorhead Coffee,40.61,40.61,usaa-jcc,Luxury,Dining
10/22/25,Sky Garden Center,243.19,243.19,usaa-jcc,Luxury,Enrichment
10/21/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/21/25,Smith Brothers Farms,34.02,34.02,usaa-jcc,Basic,Groceries
10/21/25,AMERICAN EXPRESS TRASEATTLE             WA,1374.13,"1,374.13",amex-cc,Luxury,Travel
10/21/25,AMERICAN EXPRESS TRASEATTLE             WA,1374.13,"1,374.13",amex-cc,Luxury,Travel
10/21/25,SCANDINAVIAN AIRLINEUNITED STATES OF AME,168.50,168.50,amex-cc,Luxury,Travel
10/21/25,SCANDINAVIAN AIRLINEUNITED STATES OF AME,168.50,168.50,amex-cc,Luxury,Travel
10/21/25,UW FOOD SERVICES    SEATTLE             WA,4.88,4.88,amex-cc,Basic,Enrichment
10/21/25,Lucillia,-350.00,350.00,usaa-cc,Luxury,Professional
10/20/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/20/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/20/25,DoorDash,87.24,87.24,usaa-jcc,Luxury,Dining
10/20/25,Kattermans Sand Point,38.59,38.59,usaa-jcc,Basic,Pharmacy
10/20/25,ELECTRONIC PAYMENT RECEIVED-THANK,-2682.18,"2,682.18",amex-cc,Basic,Transfer
10/20/25,SQSP* DOMAIN#2061082NEW YORK            NY,15.00,15.00,amex-cc,Luxury,Professional
10/20/25,THE BISTRO          JACKSON             WY,100.06,100.06,amex-cc,Luxury,Dining
10/20/25,Anchorhead Coffee,24.74,24.74,usaa-jcc,Luxury,Dining
10/20/25,Nourish Foods,84.21,84.21,usaa-jcc,Luxury,Groceries
10/20/25,Nourish Foods,26.33,26.33,usaa-jcc,Luxury,Groceries
10/20/25,Nourish Foods,18.19,18.19,usaa-jcc,Luxury,Groceries
10/19/25,Apple,14.33,14.33,usaa-jcc,Basic,hardware technology
10/19/25,Evergreen Guardian,35.00,35.00,usaa-jcc,0,0
10/19/25,Heartwoods Bonsai & Zseattle,44.00,44.00,usaa-jcc,Luxury,Home & Garden
10/19/25,Sully Eats,6.32,6.32,usaa-jcc,Luxury,Dining
10/18/25,PayByPhone Parking,3.00,3.00,usaa-jcc,Basic,Auto
10/18/25,PayByPhone Parking,1.50,1.50,usaa-jcc,Basic,Auto
10/18/25,Ext Credit Card Debit Interest Charge on Cash A,1359.67,"1,359.67",ftcu-cc,Luxury,Bank Fees
10/18/25,El Camion Sand Poi,42.01,42.01,usaa-jcc,Luxury,Dining
10/18/25,Apple,132.41,132.41,usaa-jcc,Basic,hardware technology
10/18/25,PURPLE INNOVATION LLLEHI                UT,13.24,13.24,amex-cc,Luxury,Home & Garden
10/18/25,Rudy's,69.11,69.11,usaa-jcc,0,0
10/18/25,Borowitzreport Substac Borowitzreporca,30.00,30.00,usaa-jcc,Luxury,Subscriptions / Digital
10/17/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/17/25,Metropolitan Market,32.67,32.67,usaa-jcc,Basic,Groceries
10/17/25,Progressive,-89.51,89.51,usaa-cc,Luxury,Insurance
10/17/25,Interest Paid,0.04,0.04,usaa-cc,Luxury,Interest Income
10/17/25,SQSP* DOMAIN#2057487NEW YORK            NY,15.00,15.00,amex-cc,Luxury,Professional
10/17/25,Anchorhead Coffee,17.38,17.38,usaa-jcc,Luxury,Dining
10/17/25,Mioposto Eastlake,105.31,105.31,usaa-jcc,Luxury,Dining
10/17/25,United States Sailing Ass,79.00,79.00,usaa-jcc,Luxury,Enrichment
10/17/25,Anchorhead Coffee,20.51,20.51,usaa-jcc,Luxury,Dining
10/16/25,Sound Medicine Medi,-255.00,255.00,usaa-cc,Basic,Health & Medical
10/16/25,Anchorhead Coffee,24.08,24.08,usaa-jcc,Luxury,Dining
10/16/25,Seattle University,30.91,30.91,usaa-jcc,0,0
10/16/25,Seattle Public Utilities,-711.07,711.07,usaa-cc,Basic,Utilities
10/15/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/15/25,Subway,20.61,20.61,usaa-jcc,Luxury,Dining
10/15/25,USAA Insurance Payment,1233.43,"1,233.43",usaa-jcc,Basic,Insurance
10/15/25,CLEAR *CLEARME.COM  NEW YORK            NY,209.00,209.00,amex-cc,Luxury,Travel
10/15/25,DEFY SEATTLE        TUKWILA             WA,33.05,33.05,amex-cc,0,0
10/15/25,Healthy Paws Debitpmt,-118.98,118.98,usaa-cc,Luxury,Pets
10/15/25,Anchorhead Coffee,23.77,23.77,usaa-jcc,Luxury,Dining
10/15/25,Psccu,-300.00,300.00,usaa-cc,Basic,Utilities
10/15/25,Comcast,193.94,193.94,usaa-jcc,Basic,Utilities
10/14/25,PayByPhone Parking,1.25,1.25,usaa-jcc,Basic,Auto
10/14/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/14/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/14/25,Instacart via Instacart,381.60,381.60,usaa-jcc,Basic,Groceries
10/14/25,Smith Brothers Farms,37.42,37.42,usaa-jcc,Basic,Groceries
10/14/25,Netflix,27.58,27.58,usaa-jcc,Luxury,Subscriptions / Digital
10/14/25,USAA Transfer,5000.00,"5,000.00",usaa-cc,Basic,Transfer
10/14/25,AMAZON PRIME*ME6UU9WAMZN.CO.UK/PM       GB,12.01,12.01,amex-cc,Basic,Home & Garden
10/14/25,Anchorhead Coffee,25.06,25.06,usaa-jcc,Luxury,Dining
10/14/25,Seattle University,15.59,15.59,usaa-jcc,0,0
10/14/25,Raccolto,273.94,273.94,usaa-jcc,Luxury,Travel
10/14/25,Tanners Seafood Tannersfish Cak,112.19,112.19,usaa-jcc,Luxury,groceries
10/14/25,Starlink,5.00,5.00,usaa-jcc,Luxury,Van
10/13/25,Ba Bar University,76.09,76.09,usaa-jcc,Luxury,Dining
10/13/25,Williams-Sonoma,27.53,27.53,usaa-jcc,Basic,Home & Garden
10/13/25,Mud Bay Pet Supplies,84.40,84.40,usaa-jcc,Luxury,Pets
10/13/25,Kattermans Sand Point,6.41,6.41,usaa-jcc,Basic,Pharmacy
10/13/25,Libro.fm,16.54,16.54,usaa-jcc,Luxury,Subscriptions / Digital
10/13/25,Ext Credit Card Credit 4297453                  AUTOPAYLANG*!01,1346.21,"1,346.21",ftcu-cc,0,0
10/13/25,Hey Bagel,32.45,32.45,usaa-jcc,Luxury,Dining
10/12/25,76 Fuel,4.29,4.29,usaa-jcc,Basic,Auto
10/12/25,76 Fuel,73.35,73.35,usaa-jcc,Basic,Auto
10/12/25,Shake Shack,29.45,29.45,usaa-jcc,Luxury,Dining
10/12/25,Dropps,34.03,34.03,usaa-jcc,Basic,Groceries
10/12/25,TST* EL CAMION - SANSEATTLE             WA,39.76,39.76,amex-cc,Luxury,Dining
10/12/25,Ian Windham,30.83,30.83,usaa-jcc,0,0
10/12/25,Cyclical Design Produseattle,27.00,27.00,usaa-jcc,0,0
10/12/25,O'Reilly Auto Parts,33.05,33.05,usaa-jcc,Basic,Auto
10/12/25,Pike Place Market Pda,18.00,18.00,usaa-jcc,Luxury,Dining
10/12/25,Mdseelig,18.00,18.00,usaa-jcc,Basic,Health & Medical
10/11/25,PayByPhone Parking,2.75,2.75,usaa-jcc,Basic,Auto
10/11/25,PayByPhone Parking,5.50,5.50,usaa-jcc,Basic,Auto
10/11/25,Quality Food Centers,51.17,51.17,usaa-jcc,Basic,Groceries
10/11/25,Apple,9.99,9.99,usaa-jcc,Basic,hardware technology
10/11/25,THORNE RESEARCH     SUMMERVILLE         SC,46.68,46.68,amex-cc,Basic,Pharmacy
10/11/25,Lnvm,110.34,110.34,usaa-jcc,0,0
10/11/25,At Seattleaquarium,47.00,47.00,usaa-jcc,Luxury,Travel
10/11/25,Thefp.com,300.00,300.00,usaa-jcc,Luxury,Subscriptions / Digital
10/10/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/10/25,El Camion Sand Poi,28.69,28.69,usaa-jcc,Luxury,Dining
10/10/25,Pagliacci Madison,26.04,26.04,usaa-jcc,Luxury,Dining
10/10/25,CHEVRON 0203477/CHEVSEATTLE             WA,67.57,67.57,amex-cc,Basic,Auto
10/10/25,Swing Sandwiches and Seattle,40.08,40.08,usaa-jcc,Luxury,Dining
10/10/25,Swing Sandwiches and Seattle,6.69,6.69,usaa-jcc,Luxury,Dining
10/9/25,Chipotle,27.86,27.86,usaa-jcc,Luxury,Dining
10/9/25,Apple,5.51,5.51,usaa-jcc,Basic,hardware technology
10/9/25,Peony,180.00,180.00,usaa-jcc,Basic,Health & Medical
10/9/25,SEATTLE MAKERS      SEATTLE             WA,125.00,125.00,amex-cc,Luxury,Membership
10/9/25,OPENAI *CHATGPT SUBSSAN FRANCISCO       CA,220.70,220.70,amex-cc,Luxury,Professional
10/9/25,UW ASUW BIKE SHOP 00SEATTLE             WA,19.31,19.31,amex-cc,Basic,Enrichment
10/9/25,Healthy Paws Debitpmt,-43.71,43.71,usaa-cc,Luxury,Pets
10/9/25,Anchorhead Coffee,30.77,30.77,usaa-jcc,Luxury,Dining
10/9/25,Anchorhead Coffee,24.08,24.08,usaa-jcc,Luxury,Dining
10/9/25,Anchorhead Coffee,25.06,25.06,usaa-jcc,Luxury,Dining
10/8/25,Interest On Cash Advances,5.15,5.15,usaa-jcc,Luxury,Bank Fees
10/8/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/8/25,SEATTLE METER PARKINSEATTLE             WA,5.25,5.25,amex-cc,Basic,Auto
10/8/25,Overdraft Credit Card Advance,400.00,400.00,usaa-cc,Luxury,Bank Fees
10/7/25,Smith Brothers Farms,62.48,62.48,usaa-jcc,Basic,Groceries
10/7/25,UW FOOD SERVICES 000SEATTLE             WA,4.88,4.88,amex-cc,Basic,Enrichment
10/7/25,Lucillia,-350.00,350.00,usaa-cc,Luxury,Professional
10/7/25,Overdraft Credit Card Advance,4200.00,"4,200.00",usaa-cc,Luxury,Bank Fees
10/7/25,USAA Overdraft,400.00,400.00,usaa-jcc,Basic,Enrichment
10/6/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/6/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/6/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/6/25,Ubs Bank Loan Payment,-5069.03,"5,069.03",usaa-cc,Basic,Mortgage
10/6/25,ONLINE PAYMENT - THANK YOU,-34081.00,"34,081.00",amex-cc,Basic,Transfer
10/6/25,AMAZON PRIME*P68E02BAMZN.CO.UK/PM       GB,6.05,6.05,amex-cc,Basic,Home & Garden
10/6/25,PAYPAL *ETSY INC    4029357733          NY,29.84,29.84,amex-cc,Luxury,clothing
10/6/25,Anchorhead Coffee,24.08,24.08,usaa-jcc,Luxury,Dining
10/6/25,USAA Overdraft,4200.00,"4,200.00",usaa-jcc,Basic,Enrichment
10/5/25,El Camion Sand Poi,40.97,40.97,usaa-jcc,Luxury,Dining
10/5/25,Metropolitan Market,490.15,490.15,usaa-jcc,Basic,Groceries
10/5/25,LINKEDINPREC *110476MOUNTAIN VIEW,66.20,66.20,amex-cc,Luxury,Professional
10/5/25,Vashon Island Baking Vashon,13.44,13.44,usaa-jcc,Luxury,Dining
10/4/25,Tesla,11.02,11.02,usaa-jcc,Basic,Auto
10/4/25,El Camion Sand Poi,42.01,42.01,usaa-jcc,Luxury,Dining
10/4/25,Costco,115.16,115.16,usaa-jcc,Basic,Groceries
10/4/25,Game Works Seattle,55.18,55.18,usaa-jcc,Luxury,Enrichment
10/4/25,Game Works,20.63,20.63,usaa-jcc,Luxury,Enrichment
10/3/25,PayByPhone Parking,4.67,4.67,usaa-jcc,Basic,Auto
10/3/25,Quality Food Centers,13.98,13.98,usaa-jcc,Basic,Groceries
10/3/25,Metropolitan Market,51.40,51.40,usaa-jcc,Basic,Groceries
10/3/25,Anchorhead Coffee,20.18,20.18,usaa-jcc,Luxury,Dining
10/2/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
10/2/25,Mykidsspending Saas,-25.00,25.00,usaa-cc,Luxury,Dining
